# unit,quarterLength
# source,CPDL
# source_page,https://www.cpdl.org/wiki/index.php/Bridal_Chorus_from_%27Lohengrin%27_(%27Treulich_gef%C3%BChrt%27)_(Richard_Wagner)
# license,CPDL
source_file,part,chord_index,pitch,note,start_quarter,duration_quarter,end_quarter,tie
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,0.0,1.0,1.0,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,0.0,1.0,1.0,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,1.0,0.75,1.75,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,1.0,0.75,1.75,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,1.75,0.25,2.0,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,1.75,0.25,2.0,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,2.0,1.0,3.0,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,2.0,1.0,3.0,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,3.0,1.0,4.0,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,3.0,1.0,4.0,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,4.0,2.0,6.0,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,4.0,2.0,6.0,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,6.0,2.0,8.0,
Ws-wag-brid.mxl,P5-Staff1,2,77,F5,6.0,2.0,8.0,
Ws-wag-brid.mxl,Alto,1,65,F4,8.0,1.0,9.0,
Ws-wag-brid.mxl,Bass,1,58,B-3,8.0,1.0,9.0,
Ws-wag-brid.mxl,P5-Staff1,1,62,D4,8.0,1.0,9.0,
Ws-wag-brid.mxl,P5-Staff1,2,65,F4,8.0,1.0,9.0,
Ws-wag-brid.mxl,P5-Staff2,1,46,B-2,8.0,1.0,9.0,
Ws-wag-brid.mxl,P5-Staff2,2,58,B-3,8.0,1.0,9.0,
Ws-wag-brid.mxl,Soprano,1,65,F4,8.0,1.0,9.0,
Ws-wag-brid.mxl,Tenor,1,62,D4,8.0,1.0,9.0,
Ws-wag-brid.mxl,Alto,1,65,F4,9.0,0.75,9.75,
Ws-wag-brid.mxl,Bass,1,58,B-3,9.0,0.75,9.75,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,9.0,0.75,9.75,
Ws-wag-brid.mxl,P5-Staff1,2,70,B-4,9.0,0.75,9.75,
Ws-wag-brid.mxl,P5-Staff2,1,58,B-3,9.0,0.75,9.75,
Ws-wag-brid.mxl,P5-Staff2,2,62,D4,9.0,0.75,9.75,
Ws-wag-brid.mxl,Soprano,1,70,B-4,9.0,0.75,9.75,
Ws-wag-brid.mxl,Tenor,1,62,D4,9.0,0.75,9.75,
Ws-wag-brid.mxl,Alto,1,65,F4,9.75,0.25,10.0,
Ws-wag-brid.mxl,Bass,1,58,B-3,9.75,0.25,10.0,
Ws-wag-brid.mxl,P5-Staff1,1,65,F4,9.75,0.25,10.0,
Ws-wag-brid.mxl,P5-Staff1,2,70,B-4,9.75,0.25,10.0,
Ws-wag-brid.mxl,P5-Staff2,1,58,B-3,9.75,0.25,10.0,
Ws-wag-brid.mxl,P5-Staff2,2,62,D4,9.75,0.25,10.0,
