# unit,quarterLength
# source,OpenScore/Lieder
# source_path,scores/Schubert,_Franz/Schwanengesang,_D.957/4_Ständchen/lc5004835.mxl
# license,CC0-1.0
source_file,part,chord_index,pitch,note,start_quarter,duration_quarter,end_quarter,tie
lc5004835.mxl,P2-Staff2,1,38,D2,0.0,2.0,2.0,
lc5004835.mxl,P2-Staff2,2,50,D3,0.0,2.0,2.0,
lc5004835.mxl,P2-Staff1,1,57,A3,0.5,0.5,1.0,
lc5004835.mxl,P2-Staff1,2,62,D4,0.5,0.5,1.0,
lc5004835.mxl,P2-Staff1,1,62,D4,1.0,0.5,1.5,
lc5004835.mxl,P2-Staff1,2,65,F4,1.0,0.5,1.5,
lc5004835.mxl,P2-Staff1,1,57,A3,1.5,0.5,2.0,
lc5004835.mxl,P2-Staff1,2,62,D4,1.5,0.5,2.0,
lc5004835.mxl,P2-Staff1,1,62,D4,2.0,0.5,2.5,
lc5004835.mxl,P2-Staff1,2,65,F4,2.0,0.5,2.5,
lc5004835.mxl,P2-Staff1,1,57,A3,2.5,0.5,3.0,
lc5004835.mxl,P2-Staff1,2,62,D4,2.5,0.5,3.0,
lc5004835.mxl,P2-Staff2,1,34,B-1,3.0,2.0,5.0,
lc5004835.mxl,P2-Staff2,2,46,B-2,3.0,2.0,5.0,
lc5004835.mxl,P2-Staff1,1,58,B-3,3.5,0.5,4.0,
lc5004835.mxl,P2-Staff1,2,62,D4,3.5,0.5,4.0,
lc5004835.mxl,P2-Staff1,1,62,D4,4.0,0.5,4.5,
lc5004835.mxl,P2-Staff1,2,65,F4,4.0,0.5,4.5,
lc5004835.mxl,P2-Staff1,1,58,B-3,4.5,0.5,5.0,
lc5004835.mxl,P2-Staff1,2,62,D4,4.5,0.5,5.0,
lc5004835.mxl,P2-Staff1,1,62,D4,5.0,0.5,5.5,
lc5004835.mxl,P2-Staff1,2,65,F4,5.0,0.5,5.5,
lc5004835.mxl,P2-Staff1,1,58,B-3,5.5,0.5,6.0,
lc5004835.mxl,P2-Staff1,2,62,D4,5.5,0.5,6.0,
lc5004835.mxl,P2-Staff2,1,31,G1,6.0,2.0,8.0,
lc5004835.mxl,P2-Staff2,2,43,G2,6.0,2.0,8.0,
lc5004835.mxl,P2-Staff1,1,58,B-3,6.5,0.5,7.0,
lc5004835.mxl,P2-Staff1,2,62,D4,6.5,0.5,7.0,
lc5004835.mxl,P2-Staff1,1,62,D4,7.0,0.5,7.5,
lc5004835.mxl,P2-Staff1,2,64,E4,7.0,0.5,7.5,
lc5004835.mxl,P2-Staff1,1,58,B-3,7.5,0.5,8.0,
lc5004835.mxl,P2-Staff1,2,62,D4,7.5,0.5,8.0,
lc5004835.mxl,P2-Staff1,1,62,D4,8.0,0.5,8.5,
lc5004835.mxl,P2-Staff1,2,64,E4,8.0,0.5,8.5,
lc5004835.mxl,P2-Staff1,1,58,B-3,8.5,0.5,9.0,
lc5004835.mxl,P2-Staff1,2,62,D4,8.5,0.5,9.0,
lc5004835.mxl,P2-Staff2,1,33,A1,9.0,2.0,11.0,
lc5004835.mxl,P2-Staff2,2,45,A2,9.0,2.0,11.0,
lc5004835.mxl,P2-Staff1,1,57,A3,9.5,0.5,10.0,
lc5004835.mxl,P2-Staff1,2,61,C#4,9.5,0.5,10.0,
lc5004835.mxl,P2-Staff1,1,61,C#4,10.0,0.5,10.5,
lc5004835.mxl,P2-Staff1,2,64,E4,10.0,0.5,10.5,
lc5004835.mxl,P2-Staff1,1,57,A3,10.5,0.5,11.0,
lc5004835.mxl,P2-Staff1,2,61,C#4,10.5,0.5,11.0,
lc5004835.mxl,P2-Staff1,1,61,C#4,11.0,0.5,11.5,
lc5004835.mxl,P2-Staff1,2,64,E4,11.0,0.5,11.5,
lc5004835.mxl,P2-Staff1,1,57,A3,11.5,0.5,12.0,
lc5004835.mxl,P2-Staff1,2,61,C#4,11.5,0.5,12.0,
lc5004835.mxl,P2-Staff2,1,38,D2,12.0,2.0,14.0,
lc5004835.mxl,P2-Staff2,2,50,D3,12.0,2.0,14.0,
lc5004835.mxl,Voice,1,69,A4,12.0,0.3333333333333333,12.333333333333334,
